label,text
1,这个电影很好看节奏也不错
1,服务态度很好我很满意
1,今天心情特别好
1,这家店味道不错还会再来
1,包装很用心物流也快
1,老师讲得清楚容易理解
1,这个产品质量很好
1,体验很棒值得推荐
1,页面设计简洁好用
1,客服回复及时解决了问题
1,这次旅行非常开心
1,价格合理效果也好
1,软件运行稳定功能够用
1,收到后很惊喜超出预期
1,课程内容扎实收获很多
1,图片清晰颜色也漂亮
1,更新后速度更快了
1,这本书很有帮助
1,安装简单使用方便
1,整体表现让我满意
1,这个应用很好用
1,物流很快东西也不错
1,课程讲得明白
1,这次体验非常满意
1,质量不错值得购买
1,界面清爽操作顺手
1,功能实用效率提高了
1,售后处理很专业
1,问题很快就解决了
1,这次更新让我很惊喜
1,系统响应很快
1,活动安排得很顺利
1,整体氛围很好
1,饭菜新鲜味道很好
1,房间干净住得舒服
1,交通方便位置也好
1,资料完整解释清楚
1,结果符合我的预期
1,这个方案很靠谱
1,同事配合得很好
1,今天进展很顺利
1,我觉得很开心
1,心情不错状态很好
1,身体恢复得很好
1,睡了一觉舒服多了
1,感觉轻松了很多
1,医生解释得很耐心
1,处理速度让我满意
1,这个价格很划算
1,客服态度温和
1,画面流畅声音清楚
1,机器运行很稳定
1,文档写得很清楚
1,代码结构很清晰
1,测试通过结果稳定
1,这件事让我很安心
1,今天很有成就感
1,学习过程很顺畅
1,我对结果很满意
1,这个选择很正确
1,整体效果很自然
1,产品没有让我失望
1,体验比预期更好
1,虽然有点贵但是很好用
1,等待时间不长服务也好
1,问题不大可以接受
1,没有明显缺点
1,并不难用反而很方便
1,不是很贵还挺划算
1,一点也不差
1,还不错值得继续用
1,挺满意的
1,很好很强大
1,这次合作很愉快
1,沟通顺畅效率很高
1,修复以后好很多
1,新版本体验提升明显
1,功能齐全上手容易
1,准确率很高表现稳定
1,响应及时让我放心
1,服务周到态度友好
0,这个电影太无聊了
0,服务态度很差我不满意
0,今天心情很糟糕
0,这家店味道一般不会再来
0,包装破损物流也慢
0,老师讲得太乱听不懂
0,这个产品质量很差
0,体验不好不推荐
0,页面混乱很难使用
0,客服一直不回复
0,这次旅行让人失望
0,价格太贵效果不好
0,软件经常卡顿还闪退
0,收到后很失望不值这个价
0,课程内容空洞没收获
0,图片模糊颜色也奇怪
0,更新后速度更慢了
0,这本书没有帮助
0,安装复杂使用麻烦
0,整体表现让我不满意
0,这个应用很难用
0,物流太慢东西也差
0,课程讲得不清楚
0,这次体验非常糟糕
0,质量很差不值得购买
0,我的尸体有一点死了
0,我的身体有一点不舒服
0,我的身体有点难受
0,我感觉快死了
0,今天状态很差
0,我现在很痛苦
0,头疼得要命
0,身体不舒服很难受
0,这让我非常难受
0,心情差到不行
0,感觉整个人都不好了
0,这件事让我很崩溃
0,一点也不好
0,不是很好
0,不太满意
0,没有想象中好
0,一般般没有亮点
0,完全不推荐
0,真的很失望
0,问题一直没有解决
0,系统反应很慢
0,页面经常打不开
0,操作复杂还容易出错
0,接口调用失败
0,模型预测结果不准确
0,训练效果很差
0,数据质量太差
0,服务流程很混乱
0,沟通效率很低
0,态度冷淡让人不舒服
0,饭菜不新鲜味道很差
0,房间很脏住得难受
0,交通不方便位置很偏
0,资料缺失解释不清
0,结果完全不符合预期
0,这个方案不靠谱
0,同事配合很差
0,今天进展很糟糕
0,我觉得很难过
0,心情不好状态很差
0,身体越来越不舒服
0,睡醒还是很累
0,感觉压力特别大
0,医生解释得不耐心
0,处理速度让我失望
0,这个价格不划算
0,客服态度生硬
0,画面卡顿声音很差
0,机器运行不稳定
0,文档写得很乱
0,代码结构很混乱
0,测试失败结果不稳定
0,这件事让我很焦虑
0,今天特别挫败
0,学习过程很痛苦
0,我对结果不满意
0,这个选择很糟糕
0,整体效果很别扭
0,产品让我失望了
0,体验比预期更差
0,虽然便宜但是很难用
0,等待时间太长服务也差
0,问题很多无法接受
0,缺点非常明显
0,难用得不想继续
0,太贵了一点也不划算
0,真的差到离谱
0,不会再用了
0,很糟糕很崩溃
0,这次合作很不愉快
0,沟通困难效率很低
0,修复以后还是很差
0,新版本体验下降明显
0,功能缺失上手困难
0,准确率很低表现不稳定
0,回复太慢让我很烦
0,服务敷衍态度不好
